name,rating,category
12th Avenue,4.128440366972477,Hotels
Millat Hotel G9/1,4.725,Hotels
One Bed Luxury Furnished Apartment Available,3.925,Hotels
Kashee's Lodges,4.7105263157894735,Hotels
The Opus Luxury Residences,4.25,Hotels
Royal Grand Residence - Economical Guest House in Islamabad,4.661016949152542,Hotels
Hayyat Luxury Hotel Apartments | Family Hotel in Lahore,4.478260869565218,Hotels
Aqcha Hotel 阿克查酒店,4.54,Hotels
Hotel Platinum Bahria Town Lahore,3.926605504587156,Hotels
Hotel Abbasi Palace,3.8793103448275854,Hotels
Al Sakhawaat hotel,4.304347826086956,Hotels
Maati Spaces | Live.Work.Create,4.525,Hotels
"Grand Enclave Hotel, Lahore",4.317073170731708,Hotels
Islamabad Hotel,3.928571428571429,Hotels
Pine Apartments Civic center bahria town Islamabad,4.1,Hotels
Hotel Tourist inn,4.466101694915254,Hotels
"Homely Guest House and Hotels in Islamabad, Bahria Rawalpindi",4.7,Hotels
Decent lodge islamabad,4.627906976744186,Hotels
Bahria Luxus Suites,4.404040404040404,Hotels
Bella Hotel,3.75,Hotels
City Inn Hotel,3.6,Hotels
Hotel Alpine,3.8181818181818175,Hotels
Dream Residency Islamabad,3.8,Hotels
Kamran Hotel,3.933333333333333,Hotels
Dream Night Hotel,4.279411764705882,Hotels
Hotel The Holiday,3.6962025316455698,Hotels
Royal Palace guest house E11,4.794871794871795,Hotels
Herfa Inn Hotel,4.085470085470085,Hotels
Atlas Residency Hotel,3.391304347826087,Hotels
New Islamabad Hotel,3.7,Hotels
Hotel Shanghai Davis Road Lahore,3.7,Hotels
THE HOTEL,4.310344827586207,Hotels
The Orchard Hotel,4.388888888888889,Hotels
Baani Signature Hotel,4.64,Hotels
"Hotel One Jinnah, Islamabad",4.785714285714286,Hotels
Khyber Hotel,4.635135135135135,Hotels
"Islamabad Guest House G-13-1, Islamabad.",3.954545454545455,Hotels
Helen One Hotel,4.1,Hotels
DE HOTEL FACTORY,3.7,Hotels
HOTEL ROYAL SWEET,4.08,Hotels
Capital Lodges,3.44,Hotels
safari hotel davis road,5.0,Hotels
Serena Hotel,4.282051282051282,Hotels
Csuites,4.423076923076923,Hotels
Hotel New Pak Inn 3,3.683333333333333,Hotels
Comfy inn,4.2375,Hotels
Sm Suites,4.068965517241379,Hotels
British Lodge,3.774647887323944,Hotels
Royal Inn Hotel,3.9857142857142858,Hotels
Ramada Hotel & Suites And Zee Avenue Mall,3.703703703703704,Hotels
Burj Al-Hateem Hotel,4.3826086956521735,Hotels
The Residency Hotel,4.227642276422764,Hotels
Luxury Suites Guest Houses Main Branch,4.422222222222223,Hotels
Park Towers,4.266666666666667,Hotels
Safa Hotel,3.566666666666667,Hotels
Family Lodges - Deluxe Double Room (2 Adults + 1 Child),4.46,Hotels
Hotel Stay INN,4.128440366972477,Hotels
Jade Dragon Hotel DHA Lahore,4.0,Hotels
Al Safina Hotel,3.7033898305084745,Hotels
Moon Gate Hotel,3.925,Hotels
Davis Hotel,3.327731092436975,Hotels
Paradise inn Guest house Islamabad,4.25,Hotels
Atlas hotel,4.478260869565218,Hotels
Heritage Luxury Suites- All Suite hotel,4.541176470588235,Hotels
The Nights Inn,3.926605504587156,Hotels
Horizon Hotel Lahore,4.775,Hotels
NuvaHotel,4.525,Hotels
Relax Inn Hotel,3.981818181818182,Hotels
Backpackers Hostel Islamabad,4.317073170731708,Hotels
Makkah Tower Hotelمکہ ٹاور ہوٹل,3.783333333333333,Hotels
Blue Moon Residency,4.466101694915254,Hotels
Hotel Johar View,3.942857142857143,Hotels
Jasmine Inn,4.404040404040404,Hotels
Palm Tree Hotel & Suites,4.8,Hotels
Ilva Hotel,4.228571428571429,Hotels
Galyat Hotel,3.6,Hotels
Noors B&B,3.8181818181818175,Hotels
New pakeeza Hotel,4.557142857142857,Hotels
Signature Residence F6,3.933333333333333,Hotels
Al Nafoura Hotel Lahore,4.066666666666666,Hotels
Madina International Hotel,3.6962025316455698,Hotels
Royalhouse,4.085470085470085,Hotels
Hotel Prime Rose,4.925,Hotels
Sunrise Guest House F-6,3.7,Hotels
Hotel Rose One,4.55,Hotels
Islamabad Lodges Guest House & Hotel,4.388888888888889,Hotels
Apartment near Shaukat Khanum,4.0,Hotels
Luxury Apartment Lahore,3.3,Hotels
La Casa Luminosa Hotel F-7/1,4.635135135135135,Hotels
Maisonette Hotels & Resorts,4.411764705882353,Hotels
Regal Residency,4.1,Hotels
"Hotel One Down Town, Lahore",3.9375,Hotels
LMY Guesthouse Islamabad,4.08,Hotels
Hotel Visit Inn Executive,4.052631578947368,Hotels
Entire Studio Apartment,5.0,Hotels
City Paradise Hotel,4.423076923076923,Hotels
New British Hotel,3.333333333333333,Hotels
Cp hotel islamabad,3.683333333333333,Hotels
Tayyab Hotel,3.85,Hotels
Allied guest house,4.068965517241379,Hotels
Dimora Hotel,3.8,Hotels
Luxury Guest House in Bahria Town,3.9857142857142858,Hotels
Beverly Inn Hotel,3.35,Hotels
